title,url,description,likes
WebClipper,https://fossunited.org/fosshack/2023/project?project=WebClipper,"Our bookmark extension project is designed to help users mark and save specific sections of web pages or articles for future reference. With our extension, users can easily highlight and bookmark impo",2
OpenAssistant - Safety Team,https://fossunited.org/fosshack/2023/project?project=OpenAssistant%20-%20Safety%20Team,"Contribute safety datasets to build a safety model for OpenAssistant(an open-source alternative to ChatGPT). The safety model will flag potentially malicious user requests and nudge OpenAssistant to r",2
KTU STUDY BUDDY,https://fossunited.org/fosshack/2023/project?project=KTU%20STUDY%20BUDDY,"A one stop educational hub for KTU scholars, with access to Syllabi, Class Notes, Previous Year Question Papers, Resources to develop our skill-set and SGPA calculator and Result Analyser.",2
AltFreeSource,https://fossunited.org/fosshack/2023/project?project=AltFreeSource,"A tool that helps the user in managing his/her finances, using Gmail API, fetching data from bank alert emails",2
WebCapture,https://fossunited.org/fosshack/2023/project?project=WebCapture,"This browser extension lets users to quickly segregate Youtube video notes, create timestamps.",2
Resume Builder,https://fossunited.org/fosshack/2023/project?project=Resume%20Builder,"The Open Source Resume Analyzer project is a powerful tool designed to help recruiters and hiring managers analyze and assess job applicants' resumes quickly and easily.",2
The Exam Timekeeper,https://fossunited.org/fosshack/2023/project?project=The%20Exam%20Timekeeper,"This tool provides a visual representation of the time remaining until the next exam, helping aspirants plan their study schedules accordingly.",2
WebScope,https://fossunited.org/fosshack/2023/project?project=WebScope,"A free and open source web extension for users to filter out websites for content reading based on their preferred priorities.",2
MindBlog,https://fossunited.org/fosshack/2023/project?project=MindBlog,"Our mental health blog is designed using HTML, CSS, and other basic web development tools to create an engaging and user-friendly platform for individuals to share their thoughts and experiences relat",2
FixMyCity,https://fossunited.org/fosshack/2023/project?project=FixMyCity,"An Open Source mobile app for tracking and reporting civic issues such as potholes, streetlight outages, and garbage collection. This app allows users to take a photo of the issue and submit it along ",2
Medical Report Analyser,https://fossunited.org/fosshack/2023/project?project=Medical%20Report%20Analyser,"A platform where the user can upload their urine and blood test results and can get suggestions on how to improve their health condition ",2
Present.io,https://fossunited.org/fosshack/2023/project?project=Present.io,"A useful tool that allows you to know who is currently at your hostel. ",2
Mario game,https://fossunited.org/fosshack/2023/project?project=Mario%20game,"Develop a user friendly block mario game using js and html canvas",2
alacarte,https://fossunited.org/fosshack/2023/project?project=alacarte,"A prototype for realtime peer to peer collaborative shopping cart.",2
Lorem Ipsum,https://fossunited.org/fosshack/2023/project?project=Lorem%20Ipsum,"Freetube is an existing client for watching youtube videos without tracking from Google. We revamped it to look more modern.",2
Dino Privacy Extention,https://fossunited.org/fosshack/2023/project?project=Dino%20Privacy%20Extention,"A Chrome extension for those who are tired of being followed around the internet like a lost puppy! This detects annoying trackers on websites and gives you the power to block them with just a click o",2
